Iterations,Soil humidity,Water level,Flood status
0,66,40,None
1,66,39,None
2,66,39,None
3,66,39,None
4,66,39,None
5,66,39,None
6,66,39,None
7,66,39,None
8,66,39,None
9,66,40,None
10,66,39,None
11,66,39,None
12,66,40,None
13,66,40,None
14,66,40,None
15,66,40,None
16,66,41,None
17,65,48,None
18,65,55,None
19,69,80,None
20,68,79,None
21,67,77,None
22,67,75,None
23,69,74,None
24,69,73,None
25,69,72,None
26,69,71,None
27,69,70,None
28,64,69,None
29,67,69,None
30,67,68,None
31,68,67,None
32,68,67,None
33,67,66,None
34,67,65,None
35,67,65,None
36,67,64,None
37,67,69,None
38,67,76,None
39,66,75,None
40,66,74,None
41,66,73,None
42,66,72,None
43,66,71,None
44,66,71,None
45,66,70,None
46,66,69,None
47,66,68,None
48,66,67,None
49,66,66,None
50,66,65,None
51,66,65,None
52,66,64,None
53,66,64,None
54,66,64,None
55,66,64,None
56,66,63,None
57,66,63,None
58,55,80,None
59,55,80,None
60,55,80,None
61,55,80,None
62,55,80,None
63,55,80,None
64,55,80,None
65,55,80,None
66,55,80,None
67,55,80,None
68,55,80,None
69,55,80,None
70,55,80,None
71,55,80,None
72,55,80,None
73,55,80,None
74,55,80,None
75,55,80,None
76,55,80,None
77,55,80,None
78,55,80,None
79,55,80,None
80,55,80,None
81,55,80,None
82,55,80,None
83,55,80,None
84,55,80,None
85,55,80,None
86,55,80,None
87,55,80,None
88,55,80,None
89,55,80,None
90,55,80,None
91,55,80,None
92,55,80,None
93,55,80,None
94,55,80,None
95,55,80,None
96,55,80,None
97,55,80,None
98,55,80,None
99,55,80,None
100,55,80,None
101,55,80,None
102,55,80,None
103,55,80,None
104,55,80,None
105,55,80,None
106,55,80,None
107,55,80,None
108,55,80,None
109,56,81,None
110,55,80,None
111,55,80,None
112,55,80,None
113,55,80,None
114,55,80,None
115,55,80,None
116,55,80,None
117,55,80,None
118,55,80,None
119,55,80,None
120,55,80,None
121,55,80,None
122,55,80,None
123,55,80,None
124,55,80,None
125,55,80,None
126,55,80,None
127,55,80,None
128,55,80,None
129,55,80,None
130,55,80,None
131,55,80,None
132,55,80,None
133,54,80,None
134,55,80,None
135,55,80,None
136,55,80,None
137,55,80,None
138,55,80,None
139,55,80,None
140,55,80,None
141,55,80,None
142,55,80,None
143,55,80,None
144,55,80,None
145,55,80,None
146,55,80,None
147,55,80,None
148,55,80,None
149,55,80,None
150,55,80,None
151,55,80,None
152,55,80,None
153,55,80,None
154,55,80,None
155,55,80,None
156,55,80,None
157,55,80,None
158,55,80,None
159,55,80,None
160,55,80,None
161,55,80,None
162,55,80,None
163,55,80,None
164,55,80,None
165,55,80,None
166,55,80,None
167,55,81,None
168,55,80,None
169,55,80,None
170,55,80,None
171,55,80,None
172,55,83,None
173,55,80,None
174,55,80,None
175,55,80,None
176,55,80,None
177,55,80,None
178,55,80,None
179,56,81,None
180,55,80,None
181,55,80,None
182,55,80,None
183,55,80,None
184,55,80,None
185,55,80,None
186,55,80,None
187,55,80,None
188,55,80,None
189,55,80,None
190,55,80,None
191,55,80,None
192,55,80,None
193,55,80,None
194,55,80,None
195,55,80,None
196,55,80,None
197,55,80,None
198,55,80,None
199,55,80,None
200,55,80,None
201,55,80,None
202,54,80,None
203,55,80,None
204,55,80,None
205,55,80,None
206,55,80,None
207,55,80,None
208,55,80,None
209,55,80,None
210,55,80,None
211,55,80,None
212,55,80,None
213,55,80,None
214,55,80,None
215,55,80,None
216,55,80,None
217,55,80,None
218,55,80,None
219,55,80,None
220,55,80,None
221,55,80,None
222,55,80,None
223,55,80,None
224,55,80,None
225,55,80,None
226,55,80,None
227,55,80,None
228,55,80,None
229,55,80,None
230,55,80,None
231,55,80,None
232,55,80,None
233,55,80,None
234,55,73,None
235,55,80,None
236,55,80,None
237,52,76,None
238,55,80,None
239,55,80,None
240,55,80,None
241,55,80,None
242,55,80,None
243,55,80,None
244,54,80,None
245,55,80,None
246,55,80,None
247,55,80,None
248,55,80,None
249,55,80,None
250,55,80,None
251,55,80,None
252,55,80,None
253,55,80,None
254,55,80,None
255,55,80,None
256,55,80,None
257,55,80,None
258,55,80,None
259,55,80,None
260,55,80,None
261,55,80,None
262,55,80,None
263,55,80,None
264,55,80,None
265,55,80,None
266,55,80,None
267,55,80,None
268,55,80,None
269,55,80,None
270,55,80,None
271,55,80,None
272,55,80,None
273,55,80,None
274,55,80,None
275,55,80,None
276,55,82,None
277,55,80,None
278,55,80,None
279,55,80,None
280,55,80,None
281,55,80,None
282,55,80,None
283,55,80,None
284,55,80,None
285,55,80,None
286,55,80,None
287,55,80,None
288,55,80,None
289,55,80,None
290,55,80,None
291,55,80,None
292,55,80,None
293,56,82,None
294,55,80,None
295,55,80,None
296,55,80,None
297,55,80,None
298,55,80,None
299,55,80,None
300,55,80,None
301,55,80,None
302,55,80,None
303,55,80,None
304,54,80,None
305,55,80,None
306,55,80,None
307,55,80,None
308,55,80,None
309,55,80,None
310,55,80,None
311,55,80,None
312,55,80,None
313,55,80,None
314,55,80,None
315,55,80,None